"LIST-ID","occups_cats"
"465635","Metal-Working"
"465635","Miscellaneous Services"
"465635","Unclassified"
"465635","Unclassified"
"465635","Unclassified"
"465640","Metal-Working"
"465655","Miscellaneous Services"
"465657","Retail"
"465670","Metal-Working"
"465686","Retail"
"465725","Metal-Working"
"465726","Metal-Working"
"465728","Metal-Working"
"465731","Metal-Working"
"465731","Metal-Working"
"465753","Managerial"
"465770","Unclassified"
"465818","Managerial"
"465844","Metal-Working"
"465983","Metal-Working"
"465990","Metal-Working"
"466046","Metal-Working"
"466046","Metal-Working"
"466053","Transport"
"466110","Unclassified"
"466138","Metal-Working"
"466138","Metal-Working"
"466138","Metal-Working"
"466138","Metal-Working"
"466146","Metal-Working"
"466155","Metal-Working"
"466213","Metal-Working"
"466214","Metal-Working"
"466289","Building"
"466324","Metal-Working"
"466353","Metal-Working"
"466426","Food-Production"
"466637","Finance"
"466643","Unclassified"
"466650","Unclassified"
"466657","Food-Production"
"466674","Managerial"
"466675","Managerial"
"466676","Managerial"
"466677","Managerial"
"466693","Retail"
"466711","Unclassified"
"466712","Unclassified"
"466713","Unclassified"
"466716","Unclassified"
"466719","Retail"
"466720","Unclassified"
"466723","Unclassified"
"466724","Unclassified"
"466726","Unclassified"
"466731","Education"
"466778","Miscellaneous Services"
"466778","Unclassified"
"466780","Finance"
"466782","Unclassified"
"466787","Unclassified"
"466789","Finance"
"466791","Education"
"466792","Retail"
"466844","Education"
"466883","Education"
"466887","Unclassified"
"466892","Unclassified"
"466907","Unclassified"
"466914","Unclassified"
"466915","Unclassified"
"466923","Unclassified"
"466923","Unclassified"
"466944","Unclassified"
"466949","Unclassified"
"466950","Unclassified"
"466967","Unclassified"
"466980","Unclassified"
"467012","Managerial"
"467013","Managerial"
"467018","Retail"
"467019","Unclassified"
"467020","Unclassified"
"467025","Unclassified"
"467029","Food-Production"
"467052","Unclassified"
"467099","Unclassified"
"467128","Unclassified"
"467136","Unclassified"
"467145","Unclassified"
"467146","Unclassified"
"467147","Unclassified"
"467153","Unclassified"
"467255","Retail"
"467255","Miscellaneous Services"
"467256","Unclassified"
"467486","Miscellaneous Services"
"467496","Education"
"467508","Miscellaneous Services"
"467596","Managerial"
"467601","Metal-Working"
"467623","Building"
"467721","Metal-Working"
"467744","Metal-Working"
"467744","Metal-Working"
"467767","Metal-Working"
"467785","Food-Production"
"468058","Clothing"
"468058","Unclassified"
"468294","Managerial"
"468355","Metal-Working"
"468356","Managerial"
"468639","Unclassified"
"468640","Unclassified"
"468655","Education"
"468713","Unclassified"
"468775","Miscellaneous Services"
"468832","Metal-Working"
"468933","Miscellaneous Services"
"468934","Miscellaneous Services"
"469058","Miscellaneous Services"
"469128","Retail"
"469209","Performing Arts"
"469244","Finance"
"469342","Retail"
"469371","Water-Management"
"469386","Unclassified"
"469649","Education"
"470136","Managerial"
"470405","Miscellaneous Services"
"470537","Unclassified"
"470568","Household Goods"
"470738","Retail"
"470886","Finance"
"470911","Retail"
"470912","Unclassified"
"470927","Finance"
"470937","Retail"
"470943","Miscellaneous Services"
"470949","Unclassified"
"470950","Education"
"470957","Managerial"
"470957","Unclassified"
"470957","Unclassified"
"470957","Unclassified"
"470957","Unclassified"
"470974","Metal-Working"
"470994","Retail"
"471005","Unclassified"
"471016","Retail"
"471037","Clothing"
"471037","Unclassified"
"471042","Household Goods"
"471044","Clothing"
"471045","Miscellaneous Services"
"471051","Education"
"471053","Miscellaneous Services"
"471054","Retail"
"471056","Performing Arts"
"471058","Miscellaneous Services"
"471059","Miscellaneous Services"
"471061","Retail"
"471279","Clothing"
"471597","Miscellaneous Services"
"471638","Miscellaneous Services"
