"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"599","vascularius","vascularius","i",NA,"vascularius","male","Waltzing - Rome",8,88,"Metal-Working",NA,"a worker in metals, whitesmith, goldsmith","vascularius"
"600","vector","vector","oris",NA,"vector","male","Waltzing - Rome",9,97,"Transport","Land transport","one who bears, a bearer, carrier","vector"
"601","venator","venator","oris",NA,"venator","male","Waltzing - Rome",6,64,"Miscellaneous Services",NA,"a hunter","venator"
"602","vestiarius","vestiarius","i",NA,"vestiarius","male","Waltzing - Rome",4,43,"Retail",NA,"a clothes-dealer","vestiarius"
"603","vestifex","vestifex","icis",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"tailor","vestifex"
"604","vestifex","vestificus","i",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"tailor","vestificus"
"605","vestiplex","vestiplex","icis",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"a clothes-folder","vestiplex"
"606","vestiplex","vestiplicus","i",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"a clothes-folder","vestiplicus"
"607","vestitor","vestitor","oris",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"tailor","vestitor"
"608","veterarius","veterarius","i",NA,NA,"male","Petrikovits 1981a",9,99,"Miscellaneous Services",NA,"fixer of old things","veterarius"
"609","vexillarius","vexillarius","i",NA,"vexillarius","male","Waltzing - provinces",8,83,"Miscellaneous Services","Military","a standard-bearer, maker","vexillarius"
"610","vietor","vietor","oris",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"basket weaver","vietor"
"611","vietor","vitor","oris",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"basket weaver","vitor"
"612","viminarius","viminarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"weaver","viminarius"
"613","vinarius","vinariarius","i",NA,"vinariarius","male","Waltzing - Rome",4,43,"Food-Retail",NA,"a wine - dealer","vinariarius"
"614","vinarius","vinarius","i",NA,"vinarius","male","Waltzing - provinces",4,43,"Food-Retail",NA,"a wine-dealer, vintner","vinarius"
"615","violarius","violarius","i",NA,"violarius","male","Waltzing - Rome",7,75,"Clothing","Colour production","a dyer of violet color","violarius"
"616","viridarius","viridarius","i",NA,NA,"male","Petrikovits 1981a",5,55,"Miscellaneous Services",NA,"gardener","viridarius"
"617","vitrarius","vitrarius","i",NA,NA,"male","Petrikovits 1981b",8,89,"Glass-Working",NA,"glass manufacturer","vitrarius"
"618","vitrarius","vitrearius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Glass-Working",NA,"glass manufacturer","vitrearius"
"619","vitrarius","vitriarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Glass-Working",NA,"glass manufacturer","vitriarius"
