Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
anaglypharius,i,,,male,Petrikovits 1981b,16150,Plastic Arts,,"relief maker, carver"
anaglyptarius,i,,,male,Petrikovits 1981a,16150,Plastic Arts,,"relief maker, carver"
anellarius,i,,,male,Petrikovits 1981b,88010,Metal-Working,,ring maker
annellarius,i,,,male,Petrikovits 1981a,88010,Metal-Working,,ring maker
annonarius,i,,annonarius,male,Waltzing - provinces,39140,Managerial,,of or pertaining to provisions
anularius,i,,anularius,male,Waltzing - Rome,88010,Metal-Working,,maker of rings
apothecarius,i,,apothecarius,male,Waltzing - Rome,39140,Retail,,a warehouseman
apparator,oris,,apparator,male,Waltzing - Rome,99910,Miscellaneous Services,,one that prepares
applumbator,oris,,,male,Petrikovits 1981a,72890,Metal-Working,,"lead worker, solder"
aquarius,i,,aquarius,male,Waltzing - provinces,97145,Water-Management,,"fountain worker, of water, watery, water carrier"
aquator,oris,,aquator,male,Waltzing - provinces,97145,Water-Management,,a water-carrier
arcarius,i,,,male,Petrikovits 1981a,33110,Finance,,"treasurer, a controller of public revenues"
archimagirus,i,,,male,Petrikovits 1981a,53120,Food-Production,Food processing,chef
architecton,nis,,,male,Petrikovits 1981a,2120,Building,,"a masterbuilder, architect"
architectus,i,,,male,Petrikovits 1981a,2120,Building,,"a master-builder, architect"
arcuarius,i,,,male,Petrikovits 1981a,33110,Finance,,"treasurer, a controller of public revenues"
arcularius,i,,,male,Petrikovits 1981a,81190,Household Goods,,"one that makes little boxes, chests"
arecarius,i,,arecarius,male,Waltzing - provinces,98130,Transport,Maritime/water transport,small boat owner
arenarius,i,,arenarius,male,Waltzing - provinces,18020,Performing Arts,,"harenarius, combatant in the amphitheatre, a gladiator"
argentarius,i,,argentarius,male,Waltzing - Rome,88050,Metal-Working,,"jewellery maker, banker"
armamentarius,i,,,male,Petrikovits 1981a,58940,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
armamintarius,i,,,male,Petrikovits 1981a,58940,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
armariarius,i,,,male,Petrikovits 1981a,81120,Household Goods,,cabinet maker
armilarius,i,,,male,Petrikovits 1981a,88010,Metal-Working,,"bracelet maker, armilla - bracelet"
armillarius,i,,,male,Petrikovits 1981b,88010,Metal-Working,,bracelet maker
aromatarius,i,,aromatarius,male,Waltzing - Rome,45130,Retail,,"seller of perfumes, spices"
artefex,icis,,,male,Petrikovits 1981a,1600,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
artifex,icis,,,male,Petrikovits 1981a,1600,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
asinarius,i,,asinarius,male,Waltzing - provinces,98690,Transport,Land transport,"a keeper of asses, an ass-driver"
assator,oris,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,cooker
athleta,ae,,athleta,male,Waltzing - provinces,18020,Performing Arts,,"a wrestler, athlete, combatant in public games"
aulopoios,i,,,male,Petrikovits 1981a,17140,Plastic Arts,,"maker of aulos, Greek musical instrument"
aupiciarius,i,,,male,Petrikovits 1981a,98190,Transport,,"uncertain, related to boat"
aurarius,i,,aurarius,male,Waltzing - provinces,7115,Metal-Working,,gold-mine worker
aurator,oris,,,male,Petrikovits 1981a,88090,Metal-Working,,gilder
auricaesor,oris,,,male,Petrikovits 1981a,88090,Metal-Working,,manufacturer of sheet gold
auricoctor,oris,,,male,Petrikovits 1981a,72110,Metal-Working,,he that melts or refines gold
aurifaber,ri,,,male,Petrikovits 1981b,88050,Metal-Working,,goldsmith
aurifex,icis,,aurifex,male,Waltzing - Rome,88050,Metal-Working,,goldsmith
aurificus,i,,,male,Petrikovits 1981a,88050,Metal-Working,,"goldworker, goldsmith"
aurifossor,oris,,,male,Petrikovits 1981a,7115,Metal-Working,,gold digger
aurufex,icis,,,male,Petrikovits 1981a,88050,Metal-Working,,"goldworker, goldsmith"
automatarius,i,,,male,Petrikovits 1981a,94990,Miscellaneous Services,,a maker of automata
axearius,i,,,male,Petrikovits 1981a,81210,Building,,"uncertain, board-cutter"
baiulius,i,,baiulius,male,Waltzing - Rome,97145,Transport,Land transport,"a porter, carrier"
ballistarius,i,,,male,Petrikovits 1981a,58340,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
ballistrarius,i,,,male,Petrikovits 1981a,58340,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
baltearius,i,,,male,Petrikovits 1981a,83990,Miscellaneous Services,,a maker or master of sword-belts
barbaricarius,i,,,male,Petrikovist 1981b,75440,Clothing,,textile worker
barbaricas,atis,,,male,Petrikovits 1981a,75440,Clothing,,textile worker
bastagarius,i,,bastagarius,male,Waltzing - provinces,59990,Clothing,,a baggage-master
baxearius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,sandal-maker
baxiarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,sandal-maker
biroigallus,i,,,male,Petrikovits 1981a,,Unclassified,,uncertain
blattiarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,manufacturer of purpur
boarius,i,,boarius,male,Waltzing - Rome,61240,Food-Production,Food production,cattle breader
botularius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food production,manufacturer of sausages
bracarius,i,,,male,Petrikovits 1981a,79190,Clothing,,manufacturer of trousers
braccarius,i,,,male,Petrikovits 1981a,79190,Clothing,,manufacturer of trousers
bractearius,i,,,male,Petrikovits 1981a,88090,Metal-Working,,"goldsheet maker, worker"
bracteator,oris,,,male,Petrikovits 1981a,88090,Metal-Working,,"goldsheet maker, worker"
brattearius,i,,,male,Petrikovits 1981a,88090,Metal-Working,,"goldsheet maker, worker"
