Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
carnarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;butcher, meat worker, of or belonging to flesh
carpentarius;i;;;male;Petrikovits 1981b;9;95;Transport;Land transport;a wheelwright
carrarius;i;;;male;Petrikovits 1981a;9;95;Transport;Land transport;a wheelwright, cart maker
carrocarpentarius;i;;;male;Petrikovits 1981a;9;95;Transport;Land transport;a wheelwright
cartharius;i;;;male;Petrikovits 1981a;9;91;Miscellaneous Services;;papyrus maker
cassidarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;a helmet smith
catabolensis;ensis;;catabolensis;male;Waltzing - Rome;9;97;Transport;Land transport;a class of carriers who transport burdens by means of draught animals, a kind of muleteers
caudicarius;i;;caudicarius;male;Waltzing - Rome;9;98;Transport;Maritime/water transport;those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
caupo;onis;;;male;Petrikovits 1981a;4;43;Retail;;a petty tradesman, huckster, innkeeper
cauponarius;i;;cauponarius;male;Waltzing - Rome;5;51;Food-Retail;;tavern keeper
cavator;oris;;;male;Petrikovits 1981a;8;82;Miscellaneous Services;;engraver, maker of hollow spaces
cavidarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;uncertain, cup maker
cellararius;i;;;male;Petrikovits 1981a;5;55;Household Goods;;one who keeps provisions, a steward, butler
cellariarius;i;;;male;Petrikovits 1981b;5;55;Household Goods;;one who keeps provisions, a steward, butler
cellaricarius;i;;;male;Petrikovits 1981a;5;55;Household Goods;;one who keeps provisions, a steward, butler
cellarius;i;;;male;Petrikovits 1981a;5;55;Household Goods;;one who keeps provisions, a steward, butler
cellio;onis;;;male;Petrikovits 1981a;5;55;Household Goods;;one who keeps provisions, a steward, butler
cementarius;i;;;male;Petrikovits 1981a;9;95;Building;Stone worker;mason
centonarius;i;;centonarius;male;Waltzing - Rome;7;79;Clothing;;a maker of patchwork, a dealer in rags
cerarius;i;;;male;Petrikovits 1981a;7;77;Household Goods;;manufacturer of wax products
cerdo;onis;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;a handicraftsman
cerearius;i;;;male;Petrikovits 1981a;5;53;Unclassified;;uncertain worker, maybe baker
ceriolarius;i;;;male;Petrikovits 1981a;7;77;Household Goods;;wax candles manufacturer
ceromatita;ae;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;masseur, trainer
cervesarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;beermaker, brewer
cesor;oris;;;male;Petrikovits 1981a;9;95;Building;Stone worker;stone mason
characteraria;ae;;;male;Petrikovits 1981a;9;99;Unclassified;;uncertain, marker maker or letter maker
chartarius;i;;;male;Petrikovits 1981a;9;91;Miscellaneous Services;;papyrus maker
chorographarius;i;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;;map maker, geograph
chorographus;i;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;;cartograph, map maker
ciliciarius;i;;;male;Petrikovits 1981a;7;76;Household Goods;;maker of hair carpets
circitor;oris;;circitor;male;Waltzing - provinces;2;22;Managerial;;A watchman, overseer, supervisor
circumitor;oris;;;male;Petrikovits 1981a;2;22;Managerial;;A watchman, overseer, supervisor
cisianus;i;;;male;Petrikovits 1981a;9;95;Transport;;uncertain, the maker / driver of a cabriolet
cisiarius;i;;cisiarius;male;Waltzing - Rome;9;95;Transport;Land transport;The maker / driver of a cabriolet
citrarius;i;;citrarius;male;Waltzing - Rome;8;81;Household Goods;;maker of furniture out of citrus trees
citratius;i;;;male;Petrikovits 1981a;4;43;Retail;;producer and seller of citrus wood products
claharus;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;nail maker
clastrarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;lock maker and seller
claustrarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;lock maker and seller
clavarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;nail maker
clavicarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;locksmith
claviclarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;A bar, bolt of the door maker, or guardian of a prison
clavicularius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;A bar, bolt of the door maker, or guardian of a prison
clepsydrarius;i;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;a maker of water-clocks
clibanarius;i;;clibanarius;male;Waltzing - provinces;5;53;Food-Production;;a soldier clad in mail, a cuirassier, baker
cloacarius;i;;;male;Petrikovits 1981a;9;95;Water-Management;;canal worker
clostrarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;lock maker and seller
clusor;oris;;;male;Petrikovits 1981a;9;99;Unclassified;;uncertain, one who encloses or encompasses
coactarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;felt maker
coactiliarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;felt maker
coactor;oris;;;male;Petrikovits 1981a;7;75;Clothing;;felt producer or seller
coator;oris;;;male;Petrikovits 1981a;7;75;Clothing;;felt producer or seller
coctarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a cook
coctiliarius;i;;;male;Petrikovits 1981a;9;95;Building;;burnt brick-maker
coctor;oris;;coctor;male;Waltzing - Rome;5;53;Food-Production;;a cook, master distiller
coctuarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a cook
cocus;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a cook 
codicarius;i;;codicarius;male;Waltzing - Rome;9;98;Transport;Maritime/water transport;those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
collectiarius;i;;collectiarius;male;Waltzing - Rome;3;33;Finance;;money-changer
colorator;oris;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;dyer, colormaker, painter
columnarius;i;;;male;Petrikovits 1981a;9;95;Building;;column manufacturer
conchylegulus;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;a collector of purpur shell-fish
conchyliarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;a collector of purpur shell-fish
conchyliolegulus;i;;conchyliolegulus;male;Waltzing - provinces;7;75;Clothing;Colour production;a collector of purpur shell-fish
condeatis;is;;;male;Waltzing - provinces;0;4;Transport;Maritime/water transport;small boat owner
conditarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;fine cook, foor preparer
conditor;oris;;;male;Petrikovits 1981a;5;53;Food-Production;;cook, a seasoner, pickler
confector;oris;;;male;Petrikovits 1981a;7;76;Miscellaneous Services;;an accomplisher, finisher, a tanner
confectorarius;i;;confectorarius;male;Waltzing - Rome;5;53;Food-Production;;a butcher
confectuarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a butcher
conflator;oris;;;male;Petrikovits 1981a;8;83;Metal-Working;;a metal-caster
conquiliarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;a collector of purpur shell-fish
consutor;oris;;;male;Petrikovits 1981a;8;82;Building;;joiner, fixer, trimmer
copiata;ae;;copiata;male;Waltzing - Rome;5;59;Death-care sector;;a grave-digger, sexton
copo;onis;;;male;Petrikovits 1981a;5;51;Miscellaneous Services;;innkeeper
coquus;i;;coquus;male;Waltzing - Rome;5;53;Food-Production;;cook
corarianus;i;;;male;Petrikovits 1981a;7;76;Clothing;;tanner of leather and hides
corarius;i;;corarius;male;Waltzing - Rome;7;76;Clothing;;tanner of leather and hides
coriarius;i;;coriarius;male;Waltzing - provinces;7;76;Clothing;;a tanner, currier
cornicen;nis;;cornicen;male;Waltzing - Rome;1;17;Performing Arts;;a hornblower, trumpeter, cornet-player
cornuarius;i;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;horn maker
coronarius;i;;coronarius;male;Waltzing - Rome;8;88;Miscellaneous Services;;maker of wreaths/crowns
cotiarius;i;;;male;Petrikovits 1981a;8;82;Household Goods;;grinding stone producer, seller
crepidarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a sandal-maker, shoemaker
cretaria;ae;;;male;Petrikovits 1981a;4;43;Retail;;a shop for Cretan earth, pottery, seller, maker
cretarius;i;;;male;EDH/EDCS;4;43;Retail;;a shop for Cretan earth, pottery, pottery maker
cribrarius;i;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;screen, sieve maker
crocotarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;painter of yellow colour, dyer
crustarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;relief maker
crustularius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;one who makes pastry, a confectioner
cucullarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;cap / mantel maker
culcitarius;i;;;male;Petrikovits 1981a;7;79;Household Goods;;a cushion-maker
culinarius;i;;culinarius;male;Waltzing - provinces;5;53;Food-Production;;pertaining to the kitchen, culinary, kitchen worker
cullearius;i;;;male;Petrikovits 1981a;8;80;Household Goods;;maker of a leather bag, sack for liquids
cultellarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;maker of a small knife
cultrarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;knife maker, cutler
cunaria;ae;;;female;Petrikovits 1981a;5;54;Miscellaneous Services;;female nanny, babysitter
cunarius;i;;;male;Petrikovits 1981a;5;54;Miscellaneous Services;;nanny, babysitter
cunicularius;i;;;male;Petrikovits 1981a;0;2;Building;;tunnel builder
cuniculator;oris;;;male;Petrikovits 1981a;0;2;Building;;tunnel builder
cuparius;i;;cuparius;male;Waltzing - provinces;8;83;Metal-Working;;a cooper
cuppedinarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a maker of dainties, confectioner
curator;oris;;curator;male;Waltzing;2;21;Managerial;;he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate
curator navium;oris;;curator;male;Waltzing - Rome;2;21;Managerial;;ship manager
custodiarius;i;;custodiarius;male;Waltzing - Rome;5;58;Miscellaneous Services;;a jailer
dactilidiogliphus;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a gem cutter
dealbator;oris;;;male;Petrikovits 1981a;9;93;Building;;who whitens over, a whitewasher, a pargeter, plasterer
deaurator;oris;;;male;Petrikovits 1981a;8;88;Metal-Working;;a gilder
decanus;i;;decanus;male;Waltzing - Rome;2;22;Managerial;;A chief of ten, one set over ten persons
decempedator;oris;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;;a land-measurer, land-surveyor
dendrophorus;i;;dendrophorus;male;Waltzing - Rome;9;95;Building;Wood worker;a carpenter
